ID,Produto,Grupo do Material,Válido até,Bloqueado em,Quantidade,Valor Total,Situação do Material,Dias,Dias2,validade
216,MULETA AUX ALUMINIO MED. M402 - PAR,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,6,933.84,Disponível,365,Em +180,1900-01-01T00:00:00.000
5269,CADEIRA DE RODAS STAR LITE ATE 100 KG (PRETO/38 X 40 X 40) - UND - ORTOBRAS,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,45,158220,Disponível,365,Em +180,1900-01-01T00:00:00.000
5090,BENGALA 4 PONTAS 69 X 88CM CINZA/PRETA CAP. 100 KG - UND - ALO,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,5,330,Disponível,365,Em +180,1900-01-01T00:00:00.000
5521,CADEIRA DE BANHO 201 PRETA SIMPLES ADULTO ATE 85 KG - UND - CDS,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,51,17028.9,Disponível,365,Em +180,1900-01-01T00:00:00.000
85,BASTAO DE ALUMINIO REGUL B405,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,31,1339.2,Disponível,365,Em +180,1900-01-01T00:00:00.000
4961,CADEIRA DE RODAS MANUAL OBESO MODELO D500 ATE 180KG - UND - DELLAMED,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,9,15804,Disponível,365,Em +180,1900-01-01T00:00:00.000
5091,BENGALA TIPO T REGULAVEL 66 X 84 CM CINZA/PRETA CAP. 100 KG - UND - ALO,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,14,840,Disponível,365,Em +180,1900-01-01T00:00:00.000
83,BASTAO DE ALUMINIO UNICO/PRETO - UND - (AVARIADO),ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,57,2375.19,Disponível,365,Em +180,1900-01-01T00:00:00.000
130,COLCHAO CX DE OVO D28 X 4 CMS A VACUO,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,29,5510,Disponível,365,Em +180,1900-01-01T00:00:00.000
5517,CADEIRA DE BANHO SIMPLES ADULTO ATE 85 KG - UND - PROLIFE,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,1,299,Disponível,365,Em +180,1900-01-01T00:00:00.000
85,BASTAO DE ALUMINIO REGUL B405,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,35,1512,Disponível,365,Em +180,1900-01-01T00:00:00.000
3516,CADEIRA DE RODAS MANUAL ADT OBESO CLEAN CGO (CAPACIDADE ATE 250 KG) - UND - FREEDOM,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,1,5390,Disponível,365,Em +180,1900-01-01T00:00:00.000
217,MULETA CANADENSE FX ADULTO PRETA M407 - UND,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,1,92.91,Disponível,365,Em +180,1900-01-01T00:00:00.000
56,ANDADOR ALUMINIO 2 BR FX PLUS A399,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,25,4247.5,Disponível,365,Em +180,1900-01-01T00:00:00.000
3965,MULETA CANADENSE ARTICULADA PRETA - UND - ALO,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,13,1040,Disponível,365,Em +180,1900-01-01T00:00:00.000
57,ANDADOR DOBRAVEL ARTICULADO POP (AVARIADO),ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,1,164.5,Disponível,365,Em +180,1900-01-01T00:00:00.000
4984,CADEIRA DE RODAS PRETA H10 44 CM CAP. MAX ATE 120KG - UND - CDS,ASSISTENCIA SOCIAL,1900-01-01,1900-01-01,24,28272,Disponível,365,Em +180,1900-01-01T00:00:00.000
1180,HALOPERIDOL 5MG*(C-1) HALO - CP - (CX/200) CRISTALIA,CONTROLADO,2026-04-30,2026-03-01,16600,2219.42,Disponível,505,Em +180,2026-04-30T00:00:00.000
2232,QUETIAPINA 100MG (G) (C1) - CP - (CX/500) GEOLAB,CONTROLADO,2026-04-30,2026-03-01,5000,5069.5,Disponível,505,Em +180,2026-04-30T00:00:00.000
1072,"CLONAZEPAM 0,5 MG (B1) - CP - (CX/480) ZILEPAM",CONTROLADO,2025-10-30,2025-08-31,5280,873.84,Disponível,323,Em +180,2025-10-30T00:00:00.000
2243,VALPROATO DE SODIO 500MG - CP -  (FR/50) (C1) - EPILENIL,CONTROLADO,2026-10-30,2026-08-31,49500,101475,Disponível,688,Em +180,2026-10-30T00:00:00.000
2032,LEVOMEPROMAZINA  4% (40 MG/ML) GTS FRASCO COM 20 ML - FR - (CX/10) LEVOZINE,CONTROLADO,2026-08-30,2026-07-01,600,2494.2,Disponível,627,Em +180,2026-08-30T00:00:00.000
2243,VALPROATO DE SODIO 500MG - CP -  (FR/50) (C1) - EPILENIL,CONTROLADO,2026-10-30,2026-08-31,5500,11275,Disponível,688,Em +180,2026-10-30T00:00:00.000
3957,CLORIDRATO DE TRIEXIFENIDIL 5MG  ARTANE - CP - (CX/30)APSEN,CONTROLADO,2026-02-28,2025-12-30,900,504,Disponível,444,Em +180,2026-02-28T00:00:00.000
1140,FLUFENAZINA 25MG/1ML  SOL. INJETAVEL - AMP - (CX-50) FLUFENAN DEPOT,CONTROLADO,2025-09-30,2025-08-01,250,1495,Disponível,293,Em +180,2025-09-30T00:00:00.000
5570,DICLORIDRATO DE BETAISTINA  24MG -CP- (CX/60) PRATI,CONTROLADO,2026-01-30,2025-12-01,5200,1503.32,Disponível,415,Em +180,2026-01-30T00:00:00.000
5141,"CLORIDRATO DE NALOXONA 0,4 MG/ML C-1 NARCAN - AMPOLA - (CX/10) CRISTALIA",CONTROLADO,2025-12-30,2025-10-31,100,2119,Disponível,384,Em +180,2025-12-30T00:00:00.000
1411,OXIBUTININA CLORIDRATO 5MG - CP - (CX/60) RETEMIC,CONTROLADO,2026-02-28,2025-12-30,420,638.4,Disponível,444,Em +180,2026-02-28T00:00:00.000
1765,VALPROATO DE SODIO 50MG/ML XAROPE 100ML - FR - (CX/50) - HIPOLABOR,CONTROLADO,2026-10-30,2026-08-31,693,5552.32,Disponível,688,Em +180,2026-10-30T00:00:00.000
1699,ATROPINA 1 GOTAS 5ML - UND - ALLERGAN,CONTROLADO,2026-02-26,2025-12-28,40,554,Disponível,442,Em +180,2026-02-26T00:00:00.000
3133,TRAZODONA  (CLORIDRATO) 50MG - CP - (CX/60) ALTHAIA,CONTROLADO,2026-11-30,2026-10-01,480,258.86,Disponível,719,Em +180,2026-11-30T00:00:00.000
1119,HALOPERIDOL  2MG/ML SOL. GOTAS ORAL FRASCO COM 20ML  -FR - (CX/10) HALO,CONTROLADO,2025-03-30,2025-01-29,50,212.5,Disponível,109,Em 120,2025-03-30T00:00:00.000
1765,VALPROATO DE SODIO 50MG/ML XAROPE 100ML - FR - (CX/50) - HIPOLABOR,CONTROLADO,2026-01-30,2025-12-01,91,729.09,Disponível,415,Em +180,2026-01-30T00:00:00.000
1078,FENOBARBITAL 100MG FENOCRIS - CP - (CX/200) | CRISTALIA,CONTROLADO,2026-05-30,2026-03-31,29800,3987.24,Disponível,535,Em +180,2026-05-30T00:00:00.000
1094,LEVODOPA BENSERAZIDA 200MG/50MG - CP -  (CX/30) - PROLOPA  - ROCHE,CONTROLADO,2025-11-30,2025-10-01,390,434.58,Disponível,354,Em +180,2025-11-30T00:00:00.000
1089,PERICIAZINA 40MG/ML SOLUCAO ORAL 20ML FRASCO C1 - FR - NEULEPTIL,CONTROLADO,2026-05-30,2026-03-31,326,13040,Disponível,535,Em +180,2026-05-30T00:00:00.000
1094,LEVODOPA BENSERAZIDA 200MG/50MG - CP -  (CX/30) - PROLOPA  - ROCHE,CONTROLADO,2025-11-30,2025-10-01,1320,1470.88,Disponível,354,Em +180,2025-11-30T00:00:00.000
4178,NOREPINEFRINA (HEMITARTARATO) 2 MG/ML INJETAVEL 4 ML - AMP - (CX/50) HYPOFARMA,CONTROLADO,2025-11-30,2025-10-01,200,1513.8,Disponível,354,Em +180,2025-11-30T00:00:00.000
4247,DIAZEPAM 10 MG/2ML INJETAVEL 2 ML - AMP - (CX/100) SANTIAZEPAM,CONTROLADO,2026-04-30,2026-03-01,600,188.76,Disponível,505,Em +180,2026-04-30T00:00:00.000
1070,BIPERIDENO 2MG (C-1) - CP - (CX/200) - CINETOL,CONTROLADO,2027-03-30,2027-01-29,28000,17360,Disponível,839,Em +180,2027-03-30T00:00:00.000
2226,BACLOFENO 10 MG - CP - (CX/20) UNIAO QUIMICA,CONTROLADO,2025-11-30,2025-10-01,520,138.79,Disponível,354,Em +180,2025-11-30T00:00:00.000
3498,LEVOMEPROMAZINA - COMPRIMIDO DE 25 MG LEVOZINE - CP - (CX/200) CRISTALIA,CONTROLADO,2025-03-30,2025-01-29,6400,6955.52,Disponível,109,Em 120,2025-03-30T00:00:00.000
4246,PREGABALINA 150 MG - CA - (CX30) CIMED,CONTROLADO,2026-06-30,2026-05-01,18990,30845.46,Disponível,566,Em +180,2026-06-30T00:00:00.000
3955,CLOBAZAM 20MG - CP - (CX/20) - FRISUM ,CONTROLADO,2025-08-30,2025-07-01,180,356.4,Disponível,262,Em +180,2025-08-30T00:00:00.000
3956,XIGDUO XR ( 5MG/1000 MG) - CP - (CX/60) ASTRAZENECA,CONTROLADO,2025-06-30,2025-05-01,180,792,Disponível,201,Em +180,2025-06-30T00:00:00.000
4502,AMITRIPTILINA (CLORIDRATO) 25MG  AMYTRIL - CP - (CX/200) CRISTALIA,CONTROLADO,2025-11-30,2025-10-01,123000,44058.6,Disponível,354,Em +180,2025-11-30T00:00:00.000
4596,"HALOPERIDOL 70,52 MG/ML INJETAVEL AMPOLA COM 1 ML (HALO DECANOATO) - AMP - (CX/25) - CRISTALIA",CONTROLADO,2026-08-30,2026-07-01,25,203.66,Disponível,627,Em +180,2026-08-30T00:00:00.000
3495,QUETIAPINA (HEMIFUMARATO) (G) 200 MG - CP - (CX/30) GEOLAB,CONTROLADO,2026-10-30,2026-08-31,7950,19929.06,Disponível,688,Em +180,2026-10-30T00:00:00.000
1701,ARTANE - CLORIDRATO DE TRIEXIFENIDIL 2MG - CP - (CX/30)APSEN,CONTROLADO,2025-08-30,2025-07-01,600,288,Disponível,262,Em +180,2025-08-30T00:00:00.000
